,MP name,Nature of membership,Start of term,End of term,Number of terms,State,Constituency,Political party,Gender,Educational qualifications,Educational qualifications - details,Age,Debates,Private Member Bills,Questions,Attendance,Notes,National Debates average,National Private Member Bills average,National Questions average,National Attendance average,State's Debates average,State's Private Member Bills  average,State's Questions average,State's Attendance average,House,Paliament Term,TotalGOIRelease,UnSanctionBalance,UnspentBalance,LastInstNumber1,LastInstYear,LastReleaseDate,LastRelAmount,PendInstallNo,PendInstYear,ReasonsforNotRel,ReasonsforNotRel.1,Criminal Case,Total Assets,Liabilities,PARTY SYMBOL,MARGIN,No Of AC Segments,No Of Polling Station,Electors,Avg. No. of Electors Per PS,Nominations,Contestants,Forefeited Deposits,Voters,Voters Turn Out (%),MARGIN/Voters,
450,Prince Raj,Elected,10/24/2019,In office,1,Bihar,Samastipur,Lok Jan Shakti Party,Male,10th Pass,Information not available,Information not available,5,0,0,0.93,(Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),5.9,0.1,21,0.85,5.4,0.1,17,0.87,Lok Sabha,17th Lok Sabha,,0,0,2,2019-2020,23-03-2020,2.5,,,,,5,17375975,999057,Bungalow,251643,6,1700,1679030,988,17,11,9,1019771,60.74,0.2467642245,
509,Balli Durga Prasad Rao,Elected,5/23/2019,In office,1,Andhra Pradesh,Tirupati,Yuvajana Sramika Rythu Congress Party,Male,Graduate Professional,"B.Com., B.L., Educated at S.V. University, Tirupathi, Andhra Pradesh",63,11,0,34,0.88,(Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,11.4,0,38,0.85,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,22-10-2019,2.5,1,2019-20,,,0,17426921,0,Ceiling Fan,228376,7,1987,1650453,831,17,12,10,1316473,79.76,0.1734756429,
298,N.K.Premachandran,Elected,5/23/2019,In office,4,Kerala,Kollam,Revolutionary Socialist Party,Male,Graduate Professional,"B.Sc, L.L.B",59,97,7,71,0.95,(Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,24.5,0.7,58,0.89,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,24-01-2020,2.5,2,,,,5,17500650,3270587,Spade & Stoker,148856,7,1212,1296720,1070,12,9,7,969017,74.73,0.153615468,
327,Chunni Lal Sahu,Elected,5/23/2019,In office,1,Chhattisgarh,Mahasamund,Bharatiya Janata Party,Male,Graduate,Information Not Available,51,7,0,37,0.95,(Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,6.7,0,23,0.91,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,12/9/2019,2.5,1,,,,0,17591683,1383014,Lotus,90511,8,2140,1637951,765,18,13,11,1222767,74.65,0.07402146116,
437,Jagannath Sarkar,Elected,5/23/2019,In office,1,West Bengal,Ranaghat,Bharatiya Janata Party,Male,Graduate Professional,Information Not Available,Information not available,2,0,0,0.97,(Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,12.6,0.2,24,0.8,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,17-09-2019,2.5,1,,"Audit Certificate Pending, Eligible MPR not Received, Utilisation Certificate Pending.","Audit Certificate Pending, Eligible MPR not Received, Utilisation Certificate Pending.",1,17622476,0,Lotus,233428,7,1971,1762252,894,12,7,5,1484797,84.26,0.1572120633,
93,Bharatiben Dhirubhai Shiyal,Elected,5/23/2019,In office,2,Gujarat,Bhavnagar,Bharatiya Janata Party,Female,Graduate Professional,B.A.M.S.,55,16,0,54,0.97,(Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,12,0.4,42,0.91,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,20-02-2020,2.5,2,1997-98,,,0,17753161,3689036,Lotus,329519,7,2005,1768297,882,19,10,8,1044242,59.05,0.3155580794,
529,Baidyanath Prasad Mahto,Elected,5/23/2019,In office,2,Bihar,Valmiki Nagar,Janata Dal (United),Male,10th Pass,"Educated at H.S. Bathanaha, West Champaran (Bihar) ",72,3,0,10,0.79,(Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,12.8,0.5,32,0.87,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,7/1/2020,2.5,1,,,,4,17934888,2915945,Arrow,354616,6,1701,1665502,979,17,13,11,1032231,61.98,0.3435432573,
65,Upendra Singh Rawat,Elected,5/23/2019,In office,1,Uttar Pradesh,Barabanki,Bharatiya Janata Party,Male,Post Graduate,Information Not Available,51,4,0,53,0.92,(Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,15.1,0.3,25,0.89,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,12/9/2019,2.5,1,2018-19,,,1,18050127,3171774,Lotus,110140,5,2166,1816830,839,17,13,11,1155708,63.61,0.09530088915,
241,Guharam Ajgalley,Elected,5/23/2019,In office,2,Chhattisgarh,Janjgir-Champa,Bharatiya Janata Party,Male,Graduate Professional,"B.A., L.L.B. Educated at Swami Bal Krishanpuri University, Raigarh, Chhattisgarh",52,5,0,0,0.97,(Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,6.7,0,23,0.91,Lok Sabha,17th Lok Sabha,5,2.51,2.58,2,2019-2020,31-12-2019,2.5,2,,,,0,18400837,0,Lotus,83255,8,2172,1897134,873,18,15,13,1248474,65.81,0.06668540955,
239,Chirag Kumar Paswan,Elected,5/23/2019,In office,2,Bihar,Jamui,Lok Jan Shakti Party,Male,Graduate Professional,B. Tech Computer Science,37,10,0,22,0.73,(Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,12.8,0.5,32,0.87,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,6/11/2019,2.5,1,1997-98,,,1,18466066,0,Bungalow,241049,6,1850,1718814,929,12,9,7,949561,55.25,0.2538530963,
213,Hemant Patil,Elected,5/23/2019,In office,1,Maharashtra,Hingoli,Shiv Sena,Male,Graduate,Information Not Available,49,7,0,65,0.79,(Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,15.5,0.6,82,0.79,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,30-01-2020,2.5,1,2019-20,,,0,18594458,1299983,Bow and Arrow,277856,6,1997,1733729,868,42,28,26,1158767,66.84,0.2397859104,
364,Prathap Simha,Elected,5/23/2019,In office,2,Karnataka,Mysore,Bharatiya Janata Party,Male,Post Graduate,Master in Communication and Journalism,43,2,0,20,0.86,(Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,5.8,0,41,0.78,Lok Sabha,17th Lok Sabha,5,2.5,2.5,2,2019-2020,26-02-2020,2.5,2,,,,3,18723762,6586698,Lotus,138647,8,2187,1896333,867,30,22,20,1318103,69.51,0.1051867722,
111,Bhola Singh,Elected,5/23/2019,In office,2,Uttar Pradesh,Bulandshahr,Bharatiya Janata Party,Male,Graduate,Graduate,42,6,0,88,1,(Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,15.1,0.3,25,0.89,Lok Sabha,17th Lok Sabha,2.5,0.03,1.75,1,2019-2020,12/9/2019,2.5,2,2017-18,"Eligible MPR not Received, Utilisation Certificate Pending.","Eligible MPR not Received, Utilisation Certificate Pending.",1,18728861,0,Lotus,290057,5,2964,1787925,603,13,9,7,1125000,62.92,0.2578284444,
359,Rahul Ramesh Shewale,Elected,5/23/2019,In office,2,Maharashtra,Mumbai-South-Central,Shiv Sena,Male,Others,Diploma (Civil Engineering),46,43,4,95,0.94,(Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,15.5,0.6,82,0.79,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,27-11-2019,2.5,2,2018-19,,,0,18881363,7778954,Bow & Arrow,152139,6,1572,1440380,916,30,17,15,797903,55.4,0.1906735531,
285,Nandkumar Singh Chouhan (Nandu Bhaiya),Elected,5/23/2019,In office,6,Madhya Pradesh,Khandwa,Bharatiya Janata Party,Male,Post Graduate,"B.A.
Educated at Seva Sadan Mahavidyalaya, Burhanpur",67,6,0,4,0.83,(Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,11.8,0.2,27,0.9,Lok Sabha,17th Lok Sabha,2.5,0.02,0.96,1,2019-2020,1/10/2019,2.5,1,1997-98,,,0,19076515,4819099,Lotus,273343,8,2370,1909055,806,17,11,9,1468156,76.9,0.1861811688,
472,Ram Shiromani,Elected,5/23/2019,In office,1,Uttar Pradesh,Shrawasti,Bahujan Samaj Party,Male,Graduate Professional,Information Not Available,Information not available,19,0,1,0.98,(Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,15.1,0.3,25,0.89,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,12/9/2019,2.5,1,,,,0,19108216,350000,Elephant,5320,5,2177,1914739,880,19,10,8,997139,52.08,0.005335264191,
143,Gopal Jee Thakur,Elected,5/23/2019,In office,1,Bihar,Darbhanga,Bharatiya Janata Party,Male,Post Graduate,"M.A. (Sociology) Educated at Lalit Narayan Mithila University, Darbhanga, Bihar",50,12,0,33,0.98,(Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,12.8,0.5,32,0.87,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,2/12/2019,2.5,1,,,,0,19301808,1039660,Lotus,267979,6,1664,1654811,994,17,8,6,965510,58.35,0.2775517602,
482,Kavita Singh,Elected,5/23/2019,In office,1,Bihar,Siwan,Janata Dal (United),Female,Post Graduate,Information Not Available,35,3,0,5,0.91,(Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,12.8,0.5,32,0.87,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,6/11/2019,2.5,1,1997-98,,,4,19325264,412511,Arrow,116958,6,1787,1799551,1007,24,19,17,984850,54.73,0.1187571711,
222,Rajkumar Ranjan Singh,Elected,5/23/2019,In office,1,Manipur,Inner Manipur,Bharatiya Janata Party,Male,Doctorate,Information Not Available,67,7,0,5,0.91,(Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,4.5,0,6,0.91,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,24-09-2019,2.5,1,,,,0,19616174,0,Lotus,17755,32,1300,937464,721,11,11,8,760456,81.12,0.02334783341,
260,Shrikant Eknath Shinde,Elected,5/23/2019,In office,2,Maharashtra,Kalyan,Shiv Sena,Male,Post Graduate,"M.B.B.S., MS Orthpaedics (Final Yr.)",33,41,4,132,0.89,(Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,15.5,0.6,82,0.79,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,29-10-2019,2.5,1,2019-20,,,1,19616515,1241233,Bow and Arrow,344343,6,2063,1965676,953,36,28,26,890692,45.31,0.3866016535,
372,Ajay Bhatt,Elected,5/23/2019,In office,1,Uttarakhand,Nainital-Udhamsingh Nagar,Bharatiya Janata Party,Male,Graduate Professional,Information Not Available,59,25,3,16,0.98,(Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,13.8,1.3,9,0.97,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,20-12-2019,2.5,1,,,,0,19699529,0,Lotus,339096,14,2204,1828433,830,10,7,5,1261010,68.97,0.2689082561,
132,Chandra Prakash Joshi,Elected,5/23/2019,In office,2,Rajasthan,Chittorgarh,Bharatiya Janata Party,Male,Graduate,B.Com.,44,38,2,95,0.98,(Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,21.6,0.8,52,0.93,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,20-11-2019,2.5,1,,,,0,19725115,100000,Lotus,576247,8,2327,2015911,866,13,10,8,1459266,72.39,0.394888252,
323,Kavitha Malothu,Elected,5/23/2019,In office,1,Telangana,Mahabubabad,Telangana Rashtra Samithi,Female,Graduate,Information Not Available,39,3,0,0,0.62,(Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,9.3,0,37,0.8,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,4/10/2019,2.5,1,,,,1,19731269,1252068,Car,146663,7,1735,1424385,821,20,14,12,983707,69.06,0.1490921585,
173,Mohammad Sadique,Elected,5/23/2019,In office,1,Punjab,Faridkot,Indian National Congress,Male,5th Pass,Under Matric,80,5,0,2,0.65,(Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,11,0,24,0.76,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,25-07-2019,2.5,1,,,,0,19793884,311043,Hand,83256,9,1613,1541971,956,25,20,18,975242,63.25,0.08536958006,
61,Subhas Sarkar,Elected,5/23/2019,In office,1,West Bengal,Bankura,Bharatiya Janata Party,Male,Graduate Professional,Information Not Available,66,19,0,21,0.97,(Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,12.6,0.2,24,0.8,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,6/11/2019,2.5,1,,,,1,19799440,3261495,Lotus,174333,7,1936,1648906,852,20,15,13,1372645,83.25,0.1270051616,
60,Giridhari Yadav,Elected,5/23/2019,In office,3,Bihar,Banka,Janata Dal (United),Male,Post Graduate,"M.A., LL.B., Educated at Bhagalpur University, Bhagalpur (Bihar) and Dr. Hari Singh Gaur University, Sagar (Madhya Pradesh)",58,5,0,89,0.74,(Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,12.8,0.5,32,0.87,Lok Sabha,17th Lok Sabha,5,0.01,1.29,2,2019-2020,23-01-2020,2.5,2,-,,,1,19816050,405701,Arrow,200532,6,1816,1699394,936,23,20,18,995860,58.6,0.2013656538,
134,P.R. Natarajan,Elected,5/23/2019,In office,2,Tamil Nadu,Coimbatore,Communist Party of India (Marxist),Male,12th Pass,B.A (Incomplete); Educated at Madras University,69,21,0,56,0.95,(Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,14.9,0.2,43,0.84,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,26-11-2019,2.5,1,,,,1,20284430,3234168,"Hammer, Sickle and Star",179143,6,2045,1958904,958,30,14,12,1250929,63.86,0.1432079678,
442,Janardan Mishra,Elected,5/23/2019,In office,2,Madhya Pradesh,Rewa,Bharatiya Janata Party,Male,Graduate Professional,"B.A., LL.B",63,14,0,51,0.88,(Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,11.8,0.2,27,0.9,Lok Sabha,17th Lok Sabha,5,2.41,3.05,2,2019-2020,31-12-2019,2.5,1,1997-98,,,0,20359750,580627,Lotus,312808,8,2013,1679534,834,26,23,21,1014632,60.41,0.3082969983,
69,Sunil Kumar Mondal,Elected,5/23/2019,In office,2,West Bengal,Bardhaman Purba,All India Trinamool Congress,Male,Graduate Professional,"B.A., B.Ed.",61,6,0,57,0.91,(Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,12.6,0.2,24,0.8,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,6/11/2019,2.5,2,1997-98,,,0,20371283,148598,Flowers and Grass,89311,7,1919,1698089,885,7,7,5,1439603,84.78,0.06203863148,
114,Benny Behanan,Elected,5/23/2019,In office,1,Kerala,Chalakudy,Indian National Congress,Male,Graduate,"B.Com., Educated at Sri Sankara College, Kalady, Ernamulam, Kerala",67,20,0,61,0.92,(Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,24.5,0.7,58,0.89,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,15-01-2020,2.5,1,,,,4,20461931,915938,Hand,132274,7,1182,1230197,1041,16,13,11,990433,80.51,0.133551689,
43,Horen Sing Bey,Elected,5/23/2019,In office,1,Assam,Autonomous District,Bharatiya Janata Party,Male,Graduate,Information Not Available,Information not available,1,0,3,0.88,(Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,10.3,0,31,0.86,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,20-11-2019,2.5,1,1997-98,,,2,20693570,5956209,Lotus,239626,5,1174,795945,678,6,5,3,617858,77.63,0.3878334504,
182,Nihalchand,Elected,5/23/2019,In office,4,Rajasthan,Ganganagar,Bharatiya Janata Party,Male,Graduate,"B.A. 
Educated at Rai Singh Nagar (Ajmer University)",49,24,3,67,0.88,(Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,21.6,0.8,52,0.93,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,22-10-2019,2.5,1,,,,0,21014362,3631287,Lotus,406978,8,2024,1943486,960,11,9,7,1453085,74.77,0.2800785914,
538,Bellana Chandra Sekhar,Elected,5/23/2019,In office,1,Andhra Pradesh,Vizianagaram,Yuvajana Sramika Rythu Congress Party,Male,Graduate Professional,"B.A., B.L., Educated at SDS College, Garividi and M.R. College, Vizianagaram",58,7,0,38,0.83,(Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,11.4,0,38,0.85,Lok Sabha,17th Lok Sabha,2.5,-0.4,1.66,1,2019-2020,29-08-2019,2.5,1,,,,4,21035766,11130148,Ceiling Fan,48036,7,1887,1503980,797,17,14,12,1222433,81.28,0.03929540515,
506,Virendra Kumar,Elected,5/23/2019,In office,7,Madhya Pradesh,Tikamgarh,Bharatiya Janata Party,Male,Doctorate,"M.A. (Economics), Ph.D (Child Labour); Educated at Dr. Harisingh University, Sagar, Madhya Pradesh",65,21,0,37,0.94,(Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,11.8,0.2,27,0.9,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,10/10/2019,2.5,,,,,0,21503766,1974216,Lotus,348059,8,2062,1647399,799,19,14,12,1097454,66.62,0.3171513339,
276,Rajmohan Unnithan,Elected,5/23/2019,In office,1,Kerala,Kasaragod,Indian National Congress,Male,Graduate,Information Not Available,66,11,0,24,0.89,(Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,24.5,0.7,58,0.89,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,22-11-2019,2.5,1,2019-20,,,1,21570257,862257,Hand,40438,7,1317,1363937,1036,11,9,7,1100099,80.66,0.03675850992,
29,Dharmendra Kumar,Elected,5/23/2019,In office,2,Uttar Pradesh,Aonla,Bharatiya Janata Party,Male,10th Pass,High School,51,4,0,0,0.91,(Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,15.1,0.3,25,0.89,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,12/9/2019,2.5,2,2018-19,,,0,21766502,3324300,Lotus,113743,5,2038,1785605,876,24,14,12,1052902,58.97,0.1080280976,
290,Vijay Kumar Dubey,Elected,5/23/2019,In office,1,Uttar Pradesh,Khushi Nagar,Bharatiya Janata Party,Male,12th Pass,Information Not Available,59,9,0,84,0.79,(Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,15.1,0.3,25,0.89,Lok Sabha,17th Lok Sabha,2.5,0.02,0.66,1,2019-2020,3/9/2019,2.5,,,,,2,21860780,316847,Lotus,337560,5,1963,1761564,897,16,14,12,1053309,59.79,0.3204757578,
355,Poonam Mahajan Alias Poonam Vajendla Rao,Elected,5/23/2019,In office,2,Maharashtra,Mumbai-North-Central,Bharatiya Janata Party,Female,Others,"Graduate, Diploma Course",39,5,0,71,0.91,(Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,15.5,0.6,82,0.79,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,20-12-2019,2.5,1,,,,2,22242513,0,Lotus,130005,6,1721,1679891,976,27,20,18,901797,53.68,0.1441621562,
279,Anubhav Mohanty,Elected,5/23/2019,In office,1,Odisha,Kendrapara,Biju Janata Dal,Male,Graduate,B.Com,38,27,0,32,0.76,(Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,13.5,0.2,27,0.85,Lok Sabha,17th Lok Sabha,2.5,1.27,2.52,1,2019-2020,29-08-2019,2.5,1,,,,0,22309172,4133506,Conch,153581,7,1999,1710916,856,9,7,5,1238448,72.39,0.1240108588,
443,Pakauri Lal,Elected,5/23/2019,In office,2,Uttar Pradesh,Robertsganj,Apna Dal,Male,Literate,,67,1,0,0,0.92,(Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,15.1,0.3,25,0.89,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,24-10-2019,2.5,1,,,,0,23048078,684133,Cup & Saucer,54336,5,1875,1723538,919,24,12,10,988804,57.37,0.05495123402,
353,Narendra Singh Tomar,Elected,5/23/2019,In office,3,Madhya Pradesh,Morena,Bharatiya Janata Party,Male,Graduate,"Educated at Jiwaji University, Gwalior, Madhya Pradesh",62,,,,,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.)",,,,,,,,,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,29-08-2019,2.5,,,,,1,23062224,6689767,Lotus,113341,8,2351,1837723,782,27,25,23,1138734,61.96,0.09953246324,
150,Chhatar Singh Darbar,Elected,5/23/2019,In office,3,Madhya Pradesh,Dhar,Bharatiya Janata Party,Male,Post Graduate,"M.A., LL.B. Educated at Government College of Arts and Commerce, Indore and Christian College, Indore",66,4,0,10,0.77,(Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,11.8,0.2,27,0.9,Lok Sabha,17th Lok Sabha,5,1.16,2.85,2,2019-2020,19-02-2020,2.5,2,,,,1,23198238,2471613,Lotus,156029,8,2226,1786151,802,9,7,5,1344174,75.26,0.116077978,
492,Dileshwar Kamait,Elected,5/23/2019,In office,1,Bihar,Supaul,Janata Dal (United),Male,Graduate,"B.A., Personnel Management, Educated at Bhagalpur University, Bhagalpur, Bihar",74,9,0,21,0.98,(Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,12.8,0.5,32,0.87,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,29-10-2019,2.5,2,1997-98,,,2,23441606,0,Arrow,266853,6,1770,1690620,955,24,20,18,1110996,65.72,0.240192584,
104,Arjun Ram Meghwal,Elected,5/23/2019,In office,3,Rajasthan,Bikaner,Bharatiya Janata Party,Male,Post Graduate,"M.A. (Pol. Science); Educated at Sri Dungar College, Bikaner and University of Phillipine, Phillipines",66,,,,,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.)",,,,,,,,,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,19-11-2019,2.5,2,2019-20,,,0,23524459,1060314,Lotus,264081,8,1829,1851628,1012,12,9,7,1100500,59.43,0.2399645616,
493,Darshana Vikram Jardosh,Elected,5/23/2019,In office,3,Gujarat,Surat,Bharatiya Janata Party,Female,Graduate,"B.Com.; Educated at K.P. College of Commerce, Surat, Certificate Course in Computer from NIIT",59,17,0,37,0.95,(Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,12,0.4,42,0.91,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,6/2/2020,2.5,2,,,,0,23872876,0,Lotus,548230,7,1681,1655704,985,21,13,11,1069253,64.58,0.5127224333,
445,Rathod Dipsinh Shankarsinh,Elected,5/23/2019,In office,2,Gujarat,Sabarkantha,Bharatiya Janata Party,Male,8th Pass,Under Matric,67,2,0,17,1,(Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,12,0.4,42,0.91,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,26-11-2019,2.5,2,,,,0,23997443,0,Lotus,268986,7,2381,1801717,757,27,20,18,1220978,67.77,0.2203037237,
224,Mimi Chakraborty,Elected,5/23/2019,In office,1,West Bengal,Jadavpur,All India Trinamool Congress,Female,Graduate,Information Not Available,31,5,0,23,0.3,(Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,12.6,0.2,24,0.8,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,17-09-2019,2.5,1,,,,0,24398786,1900788,Flowers and Grass,295239,7,2042,1816857,890,18,13,10,1437283,79.11,0.2054146609,
52,Virendra Singh,Elected,5/23/2019,In office,4,Uttar Pradesh,Ballia,Bharatiya Janata Party,Male,Graduate,B.A.,63,10,0,0,0.92,(Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,15.1,0.3,25,0.89,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,20-11-2019,2.5,1,2019-20,,,2,24498319,0,Lotus,15519,5,1996,1822625,913,19,10,8,990571,54.35,0.01566672152,
511,K. Jayakumar,Elected,5/23/2019,In office,1,Tamil Nadu,Tiruvallur,Indian National Congress,Male,Doctorate,"B.E. (Mech. Engg.), M. Tech. (Management), P.G. Dip. RT&M and Ind. Dev., Ph.D., M.I.E.
Educated at Madras University, I.I.T. Madras, Tamil Nadu and Institute of Engineers",69,9,0,5,0.92,(Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,14.9,0.2,43,0.84,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,10/1/2020,2.5,2,-,,,0,24583769,0,Hand,356955,6,2206,1946870,883,28,20,18,1408265,72.33,0.2534714702,
153,Rekha Verma,Elected,5/23/2019,In office,2,Uttar Pradesh,Dhaurahra,Bharatiya Janata Party,Female,12th Pass,Intermediate,46,44,0,13,0.97,(Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,15.1,0.3,25,0.89,Lok Sabha,17th Lok Sabha,5,2.78,4.28,2,2019-2020,26-02-2020,2.5,1,1997-98,,,3,24735488,7095916,Lotus,160611,5,1911,1644674,861,22,8,6,1063953,64.69,0.1509568562,
432,Santosh Pandey,Elected,5/23/2019,In office,1,Chhattisgarh,Rajnandgaon,Bharatiya Janata Party,Male,Graduate Professional,Information Not Available,52,13,0,15,0.89,(Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,6.7,0,23,0.91,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,6/11/2019,2.5,1,,,,0,24861970,1519820,Lotus,111966,8,2322,1716459,739,24,14,12,1307878,76.2,0.08560890236,
